id,bibkey,title,first_author,year,venue,source_type,peer_reviewed,doi_or_arxiv,rq_coverage,tera_layers,tera_concerns,quality_score,full_text_reviewed,decision,notes
1,lewis2020rag,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,Lewis,2020,NeurIPS,journal/conference,yes,arXiv:2005.11401,RQ1;RQ2,L1;L2,,15,abstract-only,include,Foundational anchor citation
2,karpukhin2020dpr,Dense Passage Retrieval for Open-Domain Question Answering,Karpukhin,2020,EMNLP,conference,yes,arXiv:2004.04906,RQ1;RQ2,L2,,14,abstract-only,include,Dense retrieval anchor
3,gao2024ragsurvey,Retrieval-Augmented Generation for Large Language Models: A Survey,Gao,2024,arXiv,preprint,no,arXiv:2312.10997,RQ1;RQ2;RQ3,L1;L2,C2,14,full-text,include,Most-cited recent RAG survey
4,gao2024modularrag,Modular RAG: Transforming RAG Systems into LEGO-like Reconfigurable Frameworks,Gao,2024,arXiv,preprint,no,arXiv:2407.21059,RQ1,L1;L2,,12,full-text,include,Architectural taxonomy
5,singh2025agenticragsurvey,Agentic RAG: A Survey on Agentic RAG,Singh,2025,arXiv,preprint,no,arXiv:2501.09136,RQ1;RQ2;RQ6,L2;L3;L4;L5,C2;C4,14,full-text,include,Closest competitor; differentiate
6,ragreasoning2025acl,Reasoning Agentic RAG (ACL Findings IJCNLP),N/A,2025,ACL Findings,conference,yes,N/A,RQ2,L2;L3,,13,abstract-only,include,Peer-reviewed
7,ragdeepreasoning2025,Towards Agentic RAG with Deep Reasoning: A Survey,N/A,2025,arXiv,preprint,no,arXiv:2507.09477,RQ2,L2;L3,,11,metadata-only,include,Verify authors before submission
8,ragcomprehensive2025,RAG Comprehensive Survey: Architectures Enhancements Robustness,N/A,2025,arXiv,preprint,no,arXiv:2506.00054,RQ1;RQ4,L1;L2,C1,12,full-text,include,Robustness focus
9,ragcomprehensive2024,Comprehensive Survey of RAG: Evolution Current Landscape,N/A,2024,arXiv,preprint,no,arXiv:2410.12837,RQ1,L1;L2,,11,full-text,include,Evolutionary view
10,asai2024selfrag,Self-RAG: Learning to Retrieve Generate and Critique through Self-Reflection,Asai,2024,ICLR,conference,yes,arXiv:2310.11511,RQ1;RQ2,L2;L3,,15,full-text,include,Self-reflective RAG anchor
11,edge2024graphrag,From Local to Global: A Graph RAG Approach to Query-Focused Summarization,Edge,2024,arXiv (Microsoft),preprint,no,arXiv:2404.16130,RQ1;RQ2,L1;L2,,14,full-text,include,GraphRAG anchor
