id,threat,owasp_or_nist_mapping,tera_layers,attack_mechanism,empirical_anchor_bib,empirical_anchor_quote,detection_signal,mitigation_pattern,residual_open_problem
T1,Direct prompt injection,OWASP LLM01,L3,Adversarial input concatenation,liu2024promptinjectionbench,5 attacks x 10 defenses across 10 LLMs and 7 tasks,Input classifier; perplexity,StruQ structured queries (chen2025struq); PromptShield (jacob2025promptshield),High-FPR detection at scale (PromptShield reports 65.3% TPR at 0.1% FPR)
T2,Indirect prompt injection,OWASP LLM01,L1;L2;L3,Poisoned retrieved document influences agent behavior,greshake2023indirectinjection,Foundational AISec'23 paper coined the term,Content provenance check,Source allow-list; sandbox; output validators,Multi-source ordering attacks bypass single-source defenses (wang2026obliinjection)
T3,Optimization-based judge injection,OWASP LLM01,L3;L5,Optimized adversarial suffix on candidate response,shi2024optprompt,89-99% ASR on Mistral/Openchat/Llama-2/Llama-3,Perplexity windowed detection,Adversarial training of judge,LLM-judge robustness across providers
T4,Prompt leakage,OWASP LLM07,L3,Closed-box query optimization to reconstruct system prompt,hui2024pleak,68% of 50 real-world Poe LLM applications had prompts reconstructed,PPL detection; output filter,Format constraints; refusal training,Optimized leakage at production scale
T5,KV-cache side-channel (PROMPTPEEK),Novel cloud risk,L0,Multi-tenant cache reuse leaks tokens,wu2025promptpeek,99% prompt-template reversal on Llama2-13B,Server-side timing anomaly,Per-tenant cache isolation,Production-grade enforcement in vLLM/SGLang
T6,Retrieval poisoning (PoisonedRAG),OWASP LLM04,L1;L2,Document poisoning to manipulate generation,zou2025poisonedrag,Foundational USENIX Security 2025 paper,Content-source telemetry,Curated corpus; traceback (ren2025traceback),Defense for live and crowd-sourced corpora
T7,RAG jamming,Novel,L1;L2,Blocker documents cause retrieval failure,shafran2025jamming,Demonstrated effective blocker insertion,Retrieval anomaly,Rate-limit; provenance check,Effective real-time blocker detection
T8,Phantom backdoor on RAG,OWASP LLM04,L1;L2,Backdoor implanted in corpus,phantombackdoor2024,General backdoor on RAG demonstrated,Trigger detection,Provenance hashing,Detection in noisy real-world corpora
T9,Backdoored retriever,OWASP LLM04,L2,Compromised embedding model,backdooredretrievers2024,Retriever-targeted prompt injection,Retriever audit,Hash-pinned retrievers,Supply-chain assurance for embedding models
T10,PR-Attack (joint prompt + RAG),Novel,L1;L2;L3,Coordinated bilevel optimization,liu2025pratttack,SIGIR 2025 paper,Multi-signal cross-layer monitor,Cross-layer correlation,Joint attack detection at low FPR
T11,Prompt-to-SQL injection,OWASP LLM01,L4,RAG-style injection translates to SQL,pedro2025prompt2sql,ICSE 2025 paper demonstrating attack,Query analyzer,Parameterized queries; ORM safe layers,Generic SQL-LLM defense
T12,Embedding inversion,OWASP LLM08,L1,Reconstruct text from stored vectors,embeddinginversion2024arxiv;transferableinversion2024,Black-box and transferable variants demonstrated,Vector-store access audit,Encrypted embeddings,Production-deployable encrypted stores
T13,Memory poisoning (AgentPoison),OWASP Agentic Top 10,L3,Poisoned long-term memory triggers backdoor,chen2024agentpoison,NeurIPS 2024 demonstrating high ASR,Memory diff anomaly,Memory provenance + ACLs,Persistent compromise detection
T14,MemoryGraft,OWASP Agentic Top 10,L3,Poisoned successful experiences implanted,memorygraft2025,Persistent compromise via experience retrieval,Experience-replay audit,Memory ACLs and signing,Multi-session collusion detection
T15,ToolHijacker,OWASP Agentic Top 10,L4,Malicious tool documents in tool library,shi2026toolhijacker,Bypasses StruQ/SecAlign/DataSentinel/PPL detection,Tool-doc audit,Hash-pinned tools; tool ACL,No-box defense for tool selection
T16,ObliInjection,OWASP Agentic Top 10,L1;L2,Order-oblivious multi-source injection,wang2026obliinjection,Effective with 1 contaminated segment of 6-100,Multi-source diff,Per-source provenance,Defense at very low contamination rates
T17,Excessive agency,OWASP LLM06,L4;L5,Tool over-permission allows unauthorized action,owasp2025agentictop10,OWASP Agentic Top 10,Action-graph audit,Least privilege; per-action authorization,Dynamic policy scoping
T18,Multi-agent steganographic collusion,OWASP Agentic Top 10,L5,Hidden collusion in plaintext communications,motwani2024secretcollusion,NeurIPS 2024 foundational paper,Inter-agent linguistic audit,Side-channel limits; inter-agent canaries,Production detection at scale
T19,Plugin Trojan,OWASP LLM05,L0;L4,LoRA Trojan adapter,dong2025philosophersstone,86% malware download success on poisoned adapter,Plugin scanning,Plugin signing; provenance,Trojan adapter detection on Hugging Face scale
T20,Instruction backdoor on customized LLMs,OWASP LLM03,L0,Backdoor embedded during customization,zhang2024instructionbackdoor,USENIX Security 2024 paper,Behavioral fingerprint,Customization audit,Customized-LLM forensics
T21,Remote keylogging on AI assistant,Novel,L5,Side-channel reconstruction from network,weiss2024remotekeylogging,27% response reconstruction; 53% topic inference,Network anomaly,Padding; encryption-at-the-token-level,Mass deployment of mitigations
T22,Multi-turn jailbreak (Crescendo),OWASP LLM01,L3,Conversation-escalation attack,russinovich2025crescendo,Microsoft research demonstrating multi-turn ASR,Conversation safety classifier,Refusal calibration,Long-context defense
